"id","pet_name","latin_name","city","colour","participant_age","participant_gender","participant_siblings","head_height","head_lateral","head_front","snout_length","snout_height","snout_width","ear_length","nose_width","nose_height","eye_diameter","head_body_length","chest_length","chest_height","front_leg_length","hind_leg_length","manipulate","fur_thickness","fur_sofness","touch","smell","smiling","posture","stranger_comfort","owner_comfort"
"861","Ronin","Nunursus roninus","le_mans","11",8,"1",0,15.85,16.43,15.31,4.84,5.2,9.44,4.67,3.69,2.8,1.21,37.53,14.13,18.67,13.58,24.53,5,4,7,5,5,"1","2",NA,0.875
"863","Pandi","Nunursus pandus","le_mans","7",10,"2",2,16.22,16.34,15.42,6.32,8.09,7.03,3.17,3.77,1.56,2,44.02,19.41,24.91,21.36,24.99,5,3,7,5,5,"0","1",0.875,1
"866","Doudoune","Nunursus doudounus","le_mans","9",10,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,4,4,"1","2",NA,0.75
"868","Lolo","Nunursus lolum","le_mans","8",12,"1",0,11.24,11.89,12.13,4.35,6.41,5.82,3.15,1.82,1.24,1.07,32.21,9.31,13.94,16.83,16.33,5,3,3,3,5,"-1","2",NA,1
"871","Grand Doudou","Nunursus grandus doudus","le_mans","8",6,"1",1,7.4,7.22,5.97,1.06,2.67,3.65,1.91,1.24,0.8,0.58,17.87,5.89,5.35,7.82,9.06,5,2,5,5,2,"0","2",NA,1
"874","Pepito","Nunursus pepitus","le_mans","9",11,"2",0,7.92,7.84,6.44,1.92,3.7,4.29,2.45,0.73,1.04,0.98,18.45,8.05,8.26,9.23,8.46,5,3,5,5,5,"0","2",NA,1
"880","Nounours","Nunursus nounoursus","le_mans","7",10,"1",2,16.94,18.93,13.96,3.03,4.62,8.51,4.26,1.76,1.69,1.2,33.44,14.36,17.1,14.26,14.69,5,3,3,3,5,"-1","2",NA,0.75
"882","Tartan","Nunursus tartarus","le_mans","3",11,"1",0,9.59,9.9,9.13,2.81,3.46,4.96,2.95,1.7,1.15,1.63,16.09,7.81,10.28,4.71,8.51,4,3,4,3,5,"0","2",0.5,NA
"885","ours mbappe","Nunursus ursus footbalisticus","le_mans","8",16,"1",2,6.97,8.82,6.1,2.15,2.34,3.21,1.52,1.15,0.69,0.66,16.89,6.57,7.03,6.28,6.08,4,3,3,3,1,"0","1",0.5,NA
"886","ours rose","Nunursus rosa","le_mans","7",56,"1",4,10.68,10.62,6.86,2.81,3.74,4.67,2.66,1.64,1.56,0.92,21.2,7.26,5.8,7.16,0.55,2,2,4,4,2,"1","7",0.625,NA
"890","Bebe","Nunursus ursus infanten","le_mans","7",9,"2",1,7.65,9.82,6.04,3.39,6.31,5.35,1.76,1.5,0.86,1.29,22.14,12.39,14.52,6.81,4.36,1,3,6,5,2,"0","1",0.375,NA
"896","Cookie","Nunursus noctibus","autre","15",34,"3",2,8.88,8.35,6.36,2.43,3.18,3.03,3.74,0.65,0.85,0.37,14.39,5.15,6.02,4.35,4.35,1,2,4,4,1,"0","1",0.3125,NA
"897","Brownie","Nunursus nunursus plana hominus","autre","10",37,"2",0,11.97,11.1,4.17,1.01,2.9,3.11,3.78,1.15,1.11,1.47,29.61,9.42,7.5,10.15,10.35,4,3,3,3,3,"-1","2",0.1875,NA
"898","echarpus","Nunursus echarpus","autre","9",8,"2",1,14.19,16.48,15.17,3.88,4.91,8.06,4.39,2.36,1.49,0.87,28.87,11.47,14.32,13.18,11.45,4,3,4,4,3,"1","1",1,NA
