CountYear,RoostCountStatusID,TotalCount,SpeciesID,FirstYear,RoostID
2017,Bats were present and counts were carried out,50,Rhinolophus hipposideros,1993,36012
2017,Bats were present and counts were carried out,251,Pipistrellus pygmaeus,1980,36508
2017,Bats were present and counts were carried out,180,Pipistrellus pygmaeus,1980,36508
2017,Bats were present and counts were carried out,67,Rhinolophus hipposideros,1998,37213
2017,Bats were present and counts were carried out,24,Rhinolophus hipposideros,1994,38258
2017,Bats were present and counts were carried out,43,Rhinolophus hipposideros,1994,38258
2017,Bats were present and counts were carried out,274,Rhinolophus hipposideros,1994,38804
2017,Bats were present and counts were carried out,421,Rhinolophus hipposideros,1994,38804
2017,Bats were present and counts were carried out,214,Rhinolophus hipposideros,1989,39393
2017,Bats were present and counts were carried out,0,Pipistrellus pygmaeus,2012,39658
2017,Bats were present and counts were carried out,2,Pipistrellus pygmaeus,2012,39658
2017,Bats were present and counts were carried out,0,Pipistrellus pygmaeus,2012,39658
2017,Bats were present and counts were carried out,5,Pipistrellus pygmaeus,2012,39658
2017,Bats were present and counts were carried out,32,Rhinolophus hipposideros,1995,39822
2017,Bats were present and counts were carried out,24,Rhinolophus hipposideros,1995,39822
2017,Bats were present and counts were carried out,56,Rhinolophus hipposideros,NA,40646
2017,Bats were present and counts were carried out,232,Pipistrellus pygmaeus,NA,41051
2017,Bats were present and counts were carried out,348,Pipistrellus pygmaeus,NA,41051
2017,Bats were present and counts were carried out,64,Pipistrellus pygmaeus,1996,41218
2017,Bats were present and counts were carried out,60,Pipistrellus pygmaeus,1996,41218
2017,Bats were present and counts were carried out,28,Rhinolophus hipposideros,2017,41712
2017,Bats were present and counts were carried out,14,Rhinolophus hipposideros,2017,41712
2017,Bats were present and counts were carried out,22,Rhinolophus hipposideros,2017,41712
2017,Bats were present and counts were carried out,414,Pipistrellus pygmaeus,1996,41830
2017,Bats were present and counts were carried out,965,Pipistrellus pygmaeus,1996,41830
2017,Bats were present and counts were carried out,625,Pipistrellus pygmaeus,1996,41830
2017,Bats were present and counts were carried out,469,Pipistrellus pygmaeus,1996,41830
2017,Bats were present and counts were carried out,28,Pipistrellus pygmaeus,2007,42046
2017,Bats were present and counts were carried out,0,Pipistrellus pygmaeus,NA,42643
2017,Bats were present and counts were carried out,236,Pipistrellus pygmaeus,NA,42643
2017,Bats were present and counts were carried out,33,Rhinolophus hipposideros,NA,43354
2017,Bats were present and counts were carried out,86,Pipistrellus pygmaeus,2014,43603
2017,Bats were present and counts were carried out,70,Pipistrellus pygmaeus,2014,43603
2017,Bats were present and counts were carried out,45,Pipistrellus pygmaeus,2014,43603
2017,Bats were present and counts were carried out,89,Pipistrellus pygmaeus,2014,43603
2017,Bats were present and counts were carried out,55,Pipistrellus pygmaeus,2014,43603
2017,Bats were present and counts were carried out,59,Pipistrellus pygmaeus,2014,43603
2017,Bats were present and counts were carried out,187,Rhinolophus hipposideros,1994,44304
2017,Bats were present and counts were carried out,172,Rhinolophus hipposideros,1994,44304
2017,Bats were present and counts were carried out,116,Rhinolophus hipposideros,1993,45993
2017,Bats were present and counts were carried out,117,Rhinolophus hipposideros,1999,46371
2017,Bats were present and counts were carried out,348,Pipistrellus pygmaeus,1970,46885
2017,Bats were present and counts were carried out,351,Pipistrellus pygmaeus,1970,46885
2017,Bats were present and counts were carried out,1,Pipistrellus pygmaeus,1989,47418
2017,Bats were present and counts were carried out,1056,Rhinolophus hipposideros,1985,47804
2017,Bats were present and counts were carried out,1061,Rhinolophus hipposideros,1985,47804
2017,Bats were present and counts were carried out,432,Pipistrellus pygmaeus,NA,47949
2017,Bats were present and counts were carried out,383,Pipistrellus pygmaeus,NA,47949
2017,Bats were present and counts were carried out,963,Pipistrellus pygmaeus,1982,48172
2017,Bats were present and counts were carried out,652,Pipistrellus pygmaeus,2006,48297
2017,Bats were present and counts were carried out,832,Pipistrellus pygmaeus,2006,48297
2017,Bats were present and counts were carried out,166,Pipistrellus pygmaeus,NA,48681
2017,Bats were present and counts were carried out,246,Pipistrellus pygmaeus,NA,48681
